Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compilance,errors,version,inferred,has_power,Units
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT, Triton)",NC96ads_A100_v4_TRT_Triton,retinanet,retinanet,Offline,2516.94,37.472,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT_Triton/retinanet/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT, Triton)",NC96ads_A100_v4_TRT_Triton,bert-99.9,bert-99.9,Offline,6467.31,90.88273936857954,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT_Triton/bert-99.9/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT, Triton)",NC96ads_A100_v4_TRT_Triton,bert-99.9,bert-99.9,Server,5602.54,90.88723524062507,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT_Triton/bert-99.9/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,rnnt,rnnt,Offline,51929.7,92.5545108119687,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/rnnt/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,rnnt,rnnt,Server,47801.0,92.5545108119687,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/rnnt/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,bert-99.9,bert-99.9,Offline,6470.04,90.88273936857954,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/bert-99.9/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,bert-99.9,bert-99.9,Server,5602.54,90.88723524062507,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/bert-99.9/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,bert-99,bert-99,Server,11598.6,90.38590173403216,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/bert-99/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,bert-99,bert-99,Offline,12455.7,90.38982811354983,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/bert-99/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,retinanet,retinanet,Server,2498.24,37.473,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/retinanet/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,retinanet,retinanet,Offline,2552.59,37.472,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/retinanet/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,resnet50,resnet,Offline,154868.0,76.000,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/resnet50/Offline,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Samples/s
Azure,available,closed,"datacenter","NC96ads_A100_v4 (4x A100-PCIe-80GB, TensorRT)",NC96ads_A100_v4_TRT,resnet50,resnet,Server,140007.0,76.158,1,"AMD EPYC 7V13 64-Core Processor",2,96,"NVIDIA A100-PCIe-80GB","4",closed/Azure/results/NC96ads_A100_v4_TRT/resnet50/Server,"TensorRT 8.6.0, CUDA 12.0","Ubuntu 20.04.5 LTS","",1,0,v3.0,0,False,Queries/s
